month,day,year,period,vial_barcode,plot,stake,species,sex,sample_type,PIT_tag,notes,trnL_total
10,1,2016,454,S009076,4,22,DO,M,fresh,B2CA34,,9528
10,1,2016,454,S009095,4,22,DO,M,trap,B2CA34,,32331
10,1,2016,454,S009066,4,64,DM,F,trap,B1FEA6,,27159
10,1,2016,454,S009067,4,43,DO,F,fresh,B2C5EB,,18733
10,1,2016,454,S009065,4,43,DO,F,trap,B2C5EB,,23143
10,1,2016,454,S009090,4,21,DM,F,trap,B1E354,,14941
10,1,2016,454,S009097,11,73,DM,M,trap,B2B91D,,21061
10,1,2016,454,S009086,11,61,PP,F,trap,B20760,,14209
10,1,2016,454,S009096,11,75,DM,M,trap,B25D35,,32212
10,1,2016,454,S009074,11,45,DM,F,fresh,B73E71,,1988
10,1,2016,454,S009075,11,45,DM,F,trap,B73E71,,17206
10,1,2016,454,S009087,21,27,PP,F,fresh,B73F00,,11619
10,1,2016,454,S009077,21,27,PP,F,trap,B73F00,,17251
10,1,2016,454,S009064,20,53,PP,F,trap,B2D03F,,30754
10,1,2016,454,S009085,20,75,PP,F,trap,B1FF1D,,32365
10,1,2016,454,S009084,20,25,PP,F,fresh,B2CA33,,26785
10,1,2016,454,S008854,20,25,PP,F,trap,B2CA33,,6997
10,1,2016,454,S008855,20,35,PP,F,fresh,B2CD92,,39035
10,1,2016,454,S008856,20,35,PP,F,trap,B2CD92,,33623
10,2,2016,454,S008857,3,21,PP,F,fresh,B26E1D,,32950
10,2,2016,454,S008847,3,21,PP,F,trap,B26E1D,,39954
10,2,2016,454,S008846,3,52,PP,F,fresh,B2B4A5,,18509
10,2,2016,454,S008845,3,52,PP,F,trap,B2B4A5,,30110
10,2,2016,454,S008844,3,71,PP,M,trap,B1FF41,,24063
10,2,2016,454,S008824,14,71,DO,F,fresh,B210B4,,14650
10,2,2016,454,S008826,14,71,DO,F,trap,B210B4,,21281
10,2,2016,454,S008835,14,75,DM,F,trap,B211CF,,9580
10,2,2016,454,S008834,14,27,PP,F,fresh,B266A9,,18465
10,2,2016,454,S008837,14,27,PP,F,trap,B266A9,,35064
10,2,2016,454,S008825,14,41,DM,F,trap,B20652,,14648
10,2,2016,454,S008836,14,45,DM,F,trap,B2B07E,,32128
10,2,2016,454,S008827,14,74,DM,M,trap,B2CEEE,,41732
10,2,2016,454,S009023,15,77,PP,F,fresh,B2C4FE,,33376
10,2,2016,454,S009043,15,77,PP,F,trap,B2C4FE,,10910
10,2,2016,454,S009052,15,24,PP,M,trap,B2C475,,30201
10,2,2016,454,S009031,15,44,PP,F,fresh,B2D3D5,,NA
10,2,2016,454,S009022,15,44,PP,F,trap,B2D3D5,,39529
10,2,2016,454,S009030,17,16,DM,M,fresh,B1F1DC,,27582
10,2,2016,454,S009050,17,16,DM,M,trap,B1F1DC,,5261
10,2,2016,454,S009032,17,76,DM,M,trap,B2114D,,13438
10,2,2016,454,S009040,17,35,DM,F,trap,B212CD,,27894
10,2,2016,454,S009041,17,63,PP,M,fresh,B21151,,12104
10,2,2016,454,S009051,17,63,PP,M,trap,B21151,,29282
10,2,2016,454,S009021,17,67,PP,M,fresh,B2CDFF,,32777
10,2,2016,454,S009020,17,67,PP,M,trap,B2CDFF,,12985
10,2,2016,454,S009033,17,25,PP,M,fresh,B1F2EB,,24843
10,2,2016,454,S009042,17,51,PP,F,fresh,B1FEE8,,34162
10,2,2016,454,S009053,17,51,PP,F,trap,B1FEE8,,34681
3,28,2017,460,S010059,4,64,DO,F,trap,B20227,,11765
3,28,2017,460,S010048,4,64,DO,F,fresh,B20227,,NA
3,28,2017,460,S010084,4,65,DO,F,trap,B2C5EB,,9660
3,28,2017,460,S010004,4,15,DO,M,trap,B2CA34,,19516
3,28,2017,460,S010054,4,15,DO,M,fresh,B2CA34,,NA
3,28,2017,460,S010024,4,41,PP,F,trap,B2B22C,,20610
3,28,2017,460,S010047,4,41,PP,F,fresh,B2B22C,,NA
3,28,2017,460,S010019,4,57,DM,M,trap,B1FECD,,4657
3,28,2017,460,S010029,11,47,PP,M,trap,B20208,,17411
